,title,abstract
78,Fairness criteria through the lens of directed acyclic graphical models,"  A substantial portion of the literature on fairness in algorithms proposes,
analyzes, and operationalizes simple formulaic criteria for assessing fairness.
Two of these criteria, Equalized Odds and Calibration by Group, have gained
significant attention for their simplicity and intuitive appeal, but also for
their incompatibility. This chapter provides a perspective on the meaning and
consequences of these and other fairness criteria using graphical models which
reveals Equalized Odds and related criteria to be ultimately misleading. An
assessment of various graphical models suggests that fairness criteria should
ultimately be case-specific and sensitive to the nature of the information the
algorithm processes.
"
79,"Reinforcement Learning with Fairness Constraints for Resource
  Distribution in Human-Robot Teams","  Much work in robotics and operations research has focused on optimal resource
distribution, where an agent dynamically decides how to sequentially distribute
resources among different candidates. However, most work ignores the notion of
fairness in candidate selection. In the case where a robot distributes
resources to human team members, disproportionately favoring the highest
performing teammate can have negative effects in team dynamics and system
acceptance. We introduce a multi-armed bandit algorithm with fairness
constraints, where a robot distributes resources to human teammates of
different skill levels. In this problem, the robot does not know the skill
level of each human teammate, but learns it by observing their performance over
time. We define fairness as a constraint on the minimum rate that each human
teammate is selected throughout the task. We provide theoretical guarantees on
performance and perform a large-scale user study, where we adjust the level of
fairness in our algorithm. Results show that fairness in resource distribution
has a significant effect on users' trust in the system.
"
80,"FairNAS: Rethinking Evaluation Fairness of Weight Sharing Neural
  Architecture Search","  One of the most critical problems in two-stage weight-sharing neural
architecture search is the evaluation of candidate models. A faithful ranking
certainly leads to accurate searching results. However, current methods are
prone to making misjudgments. In this paper, we prove that they inevitably give
biased evaluations due to inherent unfairness in the supernet training. In view
of this, we propose two levels of constraints: expectation fairness and strict
fairness. Particularly, strict fairness ensures equal optimization
opportunities for all choice blocks throughout the training, which neither
overestimates nor underestimates their capacity. We demonstrate this is crucial
to improving confidence in models' ranking. Incorporating our supernet trained
under fairness constraints with a multi-objective evolutionary search
algorithm, we obtain various state-of-the-art models on ImageNet. Especially,
FairNAS-A attains 77.5% top-1 accuracy. The models and their evaluation codes
are made publicly available online http://github.com/fairnas/FairNAS .
"
81,Toward Fairness in AI for People with Disabilities: A Research Roadmap,"  AI technologies have the potential to dramatically impact the lives of people
with disabilities (PWD). Indeed, improving the lives of PWD is a motivator for
many state-of-the-art AI systems, such as automated speech recognition tools
that can caption videos for people who are deaf and hard of hearing, or
language prediction algorithms that can augment communication for people with
speech or cognitive disabilities. However, widely deployed AI systems may not
work properly for PWD, or worse, may actively discriminate against them. These
considerations regarding fairness in AI for PWD have thus far received little
attention. In this position paper, we identify potential areas of concern
regarding how several AI technology categories may impact particular disability
constituencies if care is not taken in their design, development, and testing.
We intend for this risk assessment of how various classes of AI might interact
with various classes of disability to provide a roadmap for future research
that is needed to gather data, test these hypotheses, and build more inclusive
algorithms.
"
82,"FairST: Equitable Spatial and Temporal Demand Prediction for New
  Mobility Systems","  Emerging transportation modes, including car-sharing, bike-sharing, and
ride-hailing, are transforming urban mobility but have been shown to reinforce
socioeconomic inequities. Spatiotemporal demand prediction models for these new
mobility regimes must therefore consider fairness as a first-class design
requirement. We present FairST, a fairness-aware model for predicting demand
for new mobility systems. Our approach utilizes 1D, 2D and 3D convolutions to
integrate various urban features and learn the spatial-temporal dynamics of a
mobility system, but we include fairness metrics as a form of regularization to
make the predictions more equitable across demographic groups. We propose two
novel spatiotemporal fairness metrics, a region-based fairness gap (RFG) and an
individual-based fairness gap (IFG). Both quantify equity in a spatiotemporal
context, but vary by whether demographics are labeled at the region level (RFG)
or whether population distribution information is available (IFG). Experimental
results on real bike share and ride share datasets demonstrate the
effectiveness of the proposed model: FairST not only reduces the fairness gap
by more than 80%, but can surprisingly achieve better accuracy than
state-of-the-art yet fairness-oblivious methods including LSTMs, ConvLSTMs, and
3D CNN.
"
83,Fairness-enhancing interventions in stream classification,"  The wide spread usage of automated data-driven decision support systems has
raised a lot of concerns regarding accountability and fairness of the employed
models in the absence of human supervision. Existing fairness-aware approaches
tackle fairness as a batch learning problem and aim at learning a fair model
which can then be applied to future instances of the problem. In many
applications, however, the data comes sequentially and its characteristics
might evolve with time. In such a setting, it is counter-intuitive to ""fix"" a
(fair) model over the data stream as changes in the data might incur changes in
the underlying model therefore, affecting its fairness. In this work, we
propose fairness-enhancing interventions that modify the input data so that the
outcome of any stream classifier applied to that data will be fair. Experiments
on real and synthetic data show that our approach achieves good predictive
performance and low discrimination scores over the course of the stream.
"
84,FAHT: An Adaptive Fairness-aware Decision Tree Classifier,"  Automated data-driven decision-making systems are ubiquitous across a wide
spread of online as well as offline services. These systems, depend on
sophisticated learning algorithms and available data, to optimize the service
function for decision support assistance. However, there is a growing concern
about the accountability and fairness of the employed models by the fact that
often the available historic data is intrinsically discriminatory, i.e., the
proportion of members sharing one or more sensitive attributes is higher than
the proportion in the population as a whole when receiving positive
classification, which leads to a lack of fairness in decision support system. A
number of fairness-aware learning methods have been proposed to handle this
concern. However, these methods tackle fairness as a static problem and do not
take the evolution of the underlying stream population into consideration. In
this paper, we introduce a learning mechanism to design a fair classifier for
online stream based decision-making. Our learning model, FAHT (Fairness-Aware
Hoeffding Tree), is an extension of the well-known Hoeffding Tree algorithm for
decision tree induction over streams, that also accounts for fairness. Our
experiments show that our algorithm is able to deal with discrimination in
streaming environments, while maintaining a moderate predictive performance
over the stream.
"
85,Fairness in Reinforcement Learning,"  Decision support systems (e.g., for ecological conservation) and autonomous
systems (e.g., adaptive controllers in smart cities) start to be deployed in
real applications. Although their operations often impact many users or
stakeholders, no fairness consideration is generally taken into account in
their design, which could lead to completely unfair outcomes for some users or
stakeholders. To tackle this issue, we advocate for the use of social welfare
functions that encode fairness and present this general novel problem in the
context of (deep) reinforcement learning, although it could possibly be
extended to other machine learning tasks.
"
86,"What is the Point of Fairness? Disability, AI and The Complexity of
  Justice","  Work integrating conversations around AI and Disability is vital and valued,
particularly when done through a lens of fairness. Yet at the same time,
analyzing the ethical implications of AI for disabled people solely through the
lens of a singular idea of ""fairness"" risks reinforcing existing power
dynamics, either through reinforcing the position of existing medical
gatekeepers, or promoting tools and techniques that benefit
otherwise-privileged disabled people while harming those who are rendered
outliers in multiple ways. In this paper we present two case studies from
within computer vision - a subdiscipline of AI focused on training algorithms
that can ""see"" - of technologies putatively intended to help disabled people
but, through failures to consider structural injustices in their design, are
likely to result in harms not addressed by a ""fairness"" framing of ethics.
Drawing on disability studies and critical data science, we call on researchers
into AI ethics and disability to move beyond simplistic notions of fairness,
and towards notions of justice.
"
87,Fairness in Deep Learning: A Computational Perspective,"  Deep learning is increasingly being used in high-stake decision making
applications that affect individual lives. However, deep learning models might
exhibit algorithmic discrimination behaviors with respect to protected groups,
potentially posing negative impacts on individuals and society. Therefore,
fairness in deep learning has attracted tremendous attention recently. We
provide a review covering recent progresses to tackle algorithmic fairness
problems of deep learning from the computational perspective. Specifically, we
show that interpretability can serve as a useful ingredient to diagnose the
reasons that lead to algorithmic discrimination. We also discuss fairness
mitigation approaches categorized according to three stages of deep learning
life-cycle, aiming to push forward the area of fairness in deep learning and
build genuinely fair and reliable deep learning systems.
"
88,Fairness-Aware Process Mining,"  Process mining is a multi-purpose tool enabling organizations to improve
their processes. One of the primary purposes of process mining is finding the
root causes of performance or compliance problems in processes. The usual way
of doing so is by gathering data from the process event log and other sources
and then applying some data mining and machine learning techniques. However,
the results of applying such techniques are not always acceptable. In many
situations, this approach is prone to making obvious or unfair diagnoses and
applying them may result in conclusions that are unsurprising or even
discriminating (e.g., blaming overloaded employees for delays). In this paper,
we present a solution to this problem by creating a fair classifier for such
situations. The undesired effects are removed at the expense of reduction on
the accuracy of the resulting classifier. We have implemented this method as a
plug-in in ProM. Using the implemented plug-in on two real event logs, we
decreased the discrimination caused by the classifier, while losing a small
fraction of its accuracy.
"
89,Quantifying Infra-Marginality and Its Trade-off with Group Fairness,"  In critical decision-making scenarios, optimizing accuracy can lead to a
biased classifier, hence past work recommends enforcing group-based fairness
metrics in addition to maximizing accuracy. However, doing so exposes the
classifier to another kind of bias called infra-marginality. This refers to
individual-level bias where some individuals/subgroups can be worse off than
under simply optimizing for accuracy. For instance, a classifier implementing
race-based parity may significantly disadvantage women of the advantaged race.
To quantify this bias, we propose a general notion of $\eta$-infra-marginality
that can be used to evaluate the extent of this bias. We prove theoretically
that, unlike other fairness metrics, infra-marginality does not have a
trade-off with accuracy: high accuracy directly leads to low infra-marginality.
This observation is confirmed through empirical analysis on multiple simulated
and real-world datasets. Further, we find that maximizing group fairness often
increases infra-marginality, suggesting the consideration of both group-level
fairness and individual-level infra-marginality. However, measuring
infra-marginality requires knowledge of the true distribution of
individual-level outcomes correctly and explicitly. We propose a practical
method to measure infra-marginality, and a simple algorithm to maximize
group-wise accuracy and avoid infra-marginality.
"
90,Avoiding Resentment Via Monotonic Fairness,"  Classifiers that achieve demographic balance by explicitly using protected
attributes such as race or gender are often politically or culturally
controversial due to their lack of individual fairness, i.e. individuals with
similar qualifications will receive different outcomes. Individually and group
fair decision criteria can produce counter-intuitive results, e.g. that the
optimal constrained boundary may reject intuitively better candidates due to
demographic imbalance in similar candidates. Both approaches can be seen as
introducing individual resentment, where some individuals would have received a
better outcome if they either belonged to a different demographic class and had
the same qualifications, or if they remained in the same class but had
objectively worse qualifications (e.g. lower test scores). We show that both
forms of resentment can be avoided by using monotonically constrained machine
learning models to create individually fair, demographically balanced
classifiers.
"
91,"FAT Forensics: A Python Toolbox for Algorithmic Fairness, Accountability
  and Transparency","  Machine learning algorithms can take important decisions, sometimes legally
binding, about our everyday life. In most cases, however, these systems and
decisions are neither regulated nor certified. Given the potential harm that
these algorithms can cause, qualities such as fairness, accountability and
transparency of predictive systems are of paramount importance. Recent
literature suggested voluntary self-reporting on these aspects of predictive
systems -- e.g., data sheets for data sets -- but their scope is often limited
to a single component of a machine learning pipeline, and producing them
requires manual labour. To resolve this impasse and ensure high-quality, fair,
transparent and reliable machine learning systems, we developed an open source
toolbox that can inspect selected fairness, accountability and transparency
aspects of these systems to automatically and objectively report them back to
their engineers and users. We describe design, scope and usage examples of this
Python toolbox in this paper. The toolbox provides functionality for inspecting
fairness, accountability and transparency of all aspects of the machine
learning process: data (and their features), models and predictions. It is
available to the public under the BSD 3-Clause open source licence.
"
92,Causal Modeling for Fairness in Dynamical Systems,"  In many application areas---lending, education, and online recommenders, for
example---fairness and equity concerns emerge when a machine learning system
interacts with a dynamically changing environment to produce both immediate and
long-term effects for individuals and demographic groups. We discuss causal
directed acyclic graphs (DAGs) as a unifying framework for the recent
literature on fairness in such dynamical systems. We show that this formulation
affords several new directions of inquiry to the modeler, where causal
assumptions can be expressed and manipulated. We emphasize the importance of
computing interventional quantities in the dynamical fairness setting, and show
how causal assumptions enable simulation (when environment dynamics are known)
and off-policy estimation (when dynamics are unknown) of intervention on short-
and long-term outcomes, at both the group and individual levels.
"
93,Group-based Fair Learning Leads to Counter-intuitive Predictions,"  A number of machine learning (ML) methods have been proposed recently to
maximize model predictive accuracy while enforcing notions of group parity or
fairness across sub-populations. We propose a desirable property for these
procedures, slack-consistency: For any individual, the predictions of the model
should be monotonic with respect to allowed slack (i.e., maximum allowed
group-parity violation). Such monotonicity can be useful for individuals to
understand the impact of enforcing fairness on their predictions. Surprisingly,
we find that standard ML methods for enforcing fairness violate this basic
property. Moreover, this undesirable behavior arises in situations agnostic to
the complexity of the underlying model or approximate optimizations, suggesting
that the simple act of incorporating a constraint can lead to drastically
unintended behavior in ML. We present a simple theoretical method for enforcing
slack-consistency, while encouraging further discussions on the unintended
behaviors potentially induced when enforcing group-based parity.
"
94,The Impact of Data Preparation on the Fairness of Software Systems,"  Machine learning models are widely adopted in scenarios that directly affect
people. The development of software systems based on these models raises
societal and legal concerns, as their decisions may lead to the unfair
treatment of individuals based on attributes like race or gender. Data
preparation is key in any machine learning pipeline, but its effect on fairness
is yet to be studied in detail. In this paper, we evaluate how the fairness and
effectiveness of the learned models are affected by the removal of the
sensitive attribute, the encoding of the categorical attributes, and instance
selection methods (including cross-validators and random undersampling). We
used the Adult Income and the German Credit Data datasets, which are widely
studied and known to have fairness concerns. We applied each data preparation
technique individually to analyse the difference in predictive performance and
fairness, using statistical parity difference, disparate impact, and the
normalised prejudice index. The results show that fairness is affected by
transformations made to the training data, particularly in imbalanced datasets.
Removing the sensitive attribute is insufficient to eliminate all the
unfairness in the predictions, as expected, but it is key to achieve fairer
models. Additionally, the standard random undersampling with respect to the
true labels is sometimes more prejudicial than performing no random
undersampling.
"
95,Fairness in Clustering with Multiple Sensitive Attributes,"  A clustering may be considered as fair on pre-specified sensitive attributes
if the proportions of sensitive attribute groups in each cluster reflect that
in the dataset. In this paper, we consider the task of fair clustering for
scenarios involving multiple multi-valued or numeric sensitive attributes. We
propose a fair clustering method, \textit{FairKM} (Fair K-Means), that is
inspired by the popular K-Means clustering formulation. We outline a
computational notion of fairness which is used along with a cluster coherence
objective, to yield the FairKM clustering method. We empirically evaluate our
approach, wherein we quantify both the quality and fairness of clusters, over
real-world datasets. Our experimental evaluation illustrates that the clusters
generated by FairKM fare significantly better on both clustering quality and
fair representation of sensitive attribute groups compared to the clusters from
a state-of-the-art baseline fair clustering method.
"
96,Conditional Learning of Fair Representations,"  We propose a novel algorithm for learning fair representations that can
simultaneously mitigate two notions of disparity among different demographic
subgroups in the classification setting. Two key components underpinning the
design of our algorithm are balanced error rate and conditional alignment of
representations. We show how these two components contribute to ensuring
accuracy parity and equalized false-positive and false-negative rates across
groups without impacting demographic parity. Furthermore, we also demonstrate
both in theory and on two real-world experiments that the proposed algorithm
leads to a better utility-fairness trade-off on balanced datasets compared with
existing algorithms on learning fair representations for classification.
"
97,"An Empirical Study on Learning Fairness Metrics for COMPAS Data with
  Human Supervision","  The notion of individual fairness requires that similar people receive
similar treatment. However, this is hard to achieve in practice since it is
difficult to specify the appropriate similarity metric. In this work, we
attempt to learn such similarity metric from human annotated data. We gather a
new dataset of human judgments on a criminal recidivism prediction (COMPAS)
task. By assuming the human supervision obeys the principle of individual
fairness, we leverage prior work on metric learning, evaluate the performance
of several metric learning methods on our dataset, and show that the learned
metrics outperform the Euclidean and Precision metric under various criteria.
We do not provide a way to directly learn a similarity metric satisfying the
individual fairness, but to provide an empirical study on how to derive the
similarity metric from human supervisors, then future work can use this as a
tool to understand human supervision.
"
98,Does Gender Matter? Towards Fairness in Dialogue Systems,"  Recently there are increasing concerns about the fairness of Artificial
Intelligence (AI) in real-world applications such as computer vision and
recommendations. For example, recognition algorithms in computer vision are
unfair to black people such as poorly detecting their faces and inappropriately
identifying them as ""gorillas"". As one crucial application of AI, dialogue
systems have been extensively applied in our society. They are usually built
with real human conversational data; thus they could inherit some fairness
issues which are held in the real world. However, the fairness of dialogue
systems has not been investigated. In this paper, we perform the initial study
about the fairness issues in dialogue systems. In particular, we construct the
first dataset and propose quantitative measures to understand fairness in
dialogue models. Our studies demonstrate that popular dialogue models show
significant prejudice towards different genders and races. Besides, to mitigate
the bias exhibited in dialogue systems, we propose two effective debiasing
methods. Experiments show that our methods can reduce the biases in dialogue
systems significantly. We will release the dataset and the measurement code
later to foster the fairness research in dialogue systems.
"
99,"Preventing Adversarial Use of Datasets through Fair Core-Set
  Construction","  We propose improving the privacy properties of a dataset by publishing only a
strategically chosen ""core-set"" of the data containing a subset of the
instances. The core-set allows strong performance on primary tasks, but forces
poor performance on unwanted tasks. We give methods for both linear models and
neural networks and demonstrate their efficacy on data.
"
100,PC-Fairness: A Unified Framework for Measuring Causality-based Fairness,"  A recent trend of fair machine learning is to define fairness as
causality-based notions which concern the causal connection between protected
attributes and decisions. However, one common challenge of all causality-based
fairness notions is identifiability, i.e., whether they can be uniquely
measured from observational data, which is a critical barrier to applying these
notions to real-world situations. In this paper, we develop a framework for
measuring different causality-based fairness. We propose a unified definition
that covers most of previous causality-based fairness notions, namely the
path-specific counterfactual fairness (PC fairness). Based on that, we propose
a general method in the form of a constrained optimization problem for bounding
the path-specific counterfactual fairness under all unidentifiable situations.
Experiments on synthetic and real-world datasets show the correctness and
effectiveness of our method.
"
101,Learning Fairness in Multi-Agent Systems,"  Fairness is essential for human society, contributing to stability and
productivity. Similarly, fairness is also the key for many multi-agent systems.
Taking fairness into multi-agent learning could help multi-agent systems become
both efficient and stable. However, learning efficiency and fairness
simultaneously is a complex, multi-objective, joint-policy optimization. To
tackle these difficulties, we propose FEN, a novel hierarchical reinforcement
learning model. We first decompose fairness for each agent and propose
fair-efficient reward that each agent learns its own policy to optimize. To
avoid multi-objective conflict, we design a hierarchy consisting of a
controller and several sub-policies, where the controller maximizes the
fair-efficient reward by switching among the sub-policies that provides diverse
behaviors to interact with the environment. FEN can be trained in a fully
decentralized way, making it easy to be deployed in real-world applications.
Empirically, we show that FEN easily learns both fairness and efficiency and
significantly outperforms baselines in a variety of multi-agent scenarios.
"
102,"Auditing and Achieving Intersectional Fairness in Classification
  Problems","  Machine learning algorithms are extensively used to make increasingly more
consequential decisions about people, so achieving optimal predictive
performance can no longer be the only focus. A particularly important
consideration is fairness with respect to race, gender, or any other sensitive
attribute. This paper studies intersectional fairness, where intersections of
multiple sensitive attributes are considered. Prior research has mainly focused
on fairness with respect to a single sensitive attribute, with intersectional
fairness being comparatively less studied despite its critical importance for
the safety of modern machine learning systems. We present a comprehensive
framework for auditing and achieving intersectional fairness in classification
problems: we define a suite of metrics to assess intersectional fairness in the
data or model outputs by extending known single-attribute fairness metrics, and
propose methods for robustly estimating them even when some intersectional
subgroups are underrepresented. Furthermore, we develop post-processing
techniques to mitigate any detected intersectional bias in a classification
model. Our techniques do not rely on any assumptions regarding the underlying
model and preserve predictive performance at a guaranteed level of fairness.
Finally, we give guidance on a practical implementation, showing how the
proposed methods perform on a real-world dataset.
"
103,"A Human-in-the-loop Framework to Construct Context-dependent
  Mathematical Formulations of Fairness","  Despite the recent surge of interest in designing and guaranteeing
mathematical formulations of fairness, virtually all existing notions of
algorithmic fairness fail to be adaptable to the intricacies and nuances of the
decision-making context at hand. We argue that capturing such factors is an
inherently human task, as it requires knowledge of the social background in
which machine learning tools impact real people's outcomes and a deep
understanding of the ramifications of automated decisions for decision subjects
and society. In this work, we present a framework to construct a
context-dependent mathematical formulation of fairness utilizing people's
judgment of fairness. We utilize the theoretical model of Heidari et al.
(2019)---which shows that most existing formulations of algorithmic fairness
are special cases of economic models of Equality of Opportunity (EOP)---and
present a practical human-in-the-loop approach to pinpoint the fairness notion
in the EOP family that best captures people's perception of fairness in the
given context. To illustrate our framework, we run human-subject experiments
designed to learn the parameters of Heidari et al.'s EOP model (including
circumstance, desert, and utility) in a hypothetical recidivism decision-making
scenario. Our work takes an initial step toward democratizing the formulation
of fairness and utilizing human-judgment to tackle a fundamental shortcoming of
automated decision-making systems: that the machine on its own is incapable of
understanding and processing the human aspects and social context of its
decisions.
"
104,Fairness-Aware Neural R\'eyni Minimization for Continuous Features,"  The past few years have seen a dramatic rise of academic and societal
interest in fair machine learning. While plenty of fair algorithms have been
proposed recently to tackle this challenge for discrete variables, only a few
ideas exist for continuous ones. The objective in this paper is to ensure some
independence level between the outputs of regression models and any given
continuous sensitive variables. For this purpose, we use the
Hirschfeld-Gebelein-R\'enyi (HGR) maximal correlation coefficient as a fairness
metric. We propose two approaches to minimize the HGR coefficient. First, by
reducing an upper bound of the HGR with a neural network estimation of the
$\chi^{2}$ divergence. Second, by minimizing the HGR directly with an
adversarial neural network architecture. The idea is to predict the output Y
while minimizing the ability of an adversarial neural network to find the
estimated transformations which are required to predict the HGR coefficient. We
empirically assess and compare our approaches and demonstrate significant
improvements on previously presented work in the field.
"
105,Fair Adversarial Gradient Tree Boosting,"  Fair classification has become an important topic in machine learning
research. While most bias mitigation strategies focus on neural networks, we
noticed a lack of work on fair classifiers based on decision trees even though
they have proven very efficient. In an up-to-date comparison of
state-of-the-art classification algorithms in tabular data, tree boosting
outperforms deep learning. For this reason, we have developed a novel approach
of adversarial gradient tree boosting. The objective of the algorithm is to
predict the output $Y$ with gradient tree boosting while minimizing the ability
of an adversarial neural network to predict the sensitive attribute $S$. The
approach incorporates at each iteration the gradient of the neural network
directly in the gradient tree boosting. We empirically assess our approach on 4
popular data sets and compare against state-of-the-art algorithms. The results
show that our algorithm achieves a higher accuracy while obtaining the same
level of fairness, as measured using a set of different common fairness
definitions.
"
106,Fair Data Adaptation with Quantile Preservation,"  Fairness of classification and regression has received much attention
recently and various, partially non-compatible, criteria have been proposed.
The fairness criteria can be enforced for a given classifier or, alternatively,
the data can be adapated to ensure that every classifier trained on the data
will adhere to desired fairness criteria. We present a practical data adaption
method based on quantile preservation in causal structural equation models. The
data adaptation is based on a presumed counterfactual model for the data. While
the counterfactual model itself cannot be verified experimentally, we show that
certain population notions of fairness are still guaranteed even if the
counterfactual model is misspecified. The precise nature of the fulfilled
non-causal fairness notion (such as demographic parity, separation or
sufficiency) depends on the structure of the underlying causal model and the
choice of resolving variables. We describe an implementation of the proposed
data adaptation procedure based on Random Forests and demonstrate its practical
use on simulated and real-world data.
"
107,Fairness through Equality of Effort,"  Fair machine learning is receiving an increasing attention in machine
learning fields. Researchers in fair learning have developed correlation or
association-based measures such as demographic disparity, mistreatment
disparity, calibration, causal-based measures such as total effect, direct and
indirect discrimination, and counterfactual fairness, and fairness notions such
as equality of opportunity and equal odds that consider both decisions in the
training data and decisions made by predictive models. In this paper, we
develop a new causal-based fairness notation, called equality of effort.
Different from existing fairness notions which mainly focus on discovering the
disparity of decisions between two groups of individuals, the proposed equality
of effort notation helps answer questions like to what extend a legitimate
variable should change to make a particular individual achieve a certain
outcome level and addresses the concerns whether the efforts made to achieve
the same outcome level for individuals from the protected group and that from
the unprotected group are different. We develop algorithms for determining
whether an individual or a group of individuals is discriminated in terms of
equality of effort. We also develop an optimization-based method for removing
discriminatory effects from the data if discrimination is detected. We conduct
empirical evaluations to compare the equality of effort and existing fairness
notion and show the effectiveness of our proposed algorithms.
"
108,Online Fair Division: A Survey,"  We survey a burgeoning and promising new research area that considers the
online nature of many practical fair division problems. We identify wide
variety of such online fair division problems, as well as discuss new
mechanisms and normative properties that apply to this online setting. The
online nature of such fair division problems provides both opportunities and
challenges such as the possibility to develop new online mechanisms as well as
the difficulty of dealing with an uncertain future.
"
109,Towards FAIR protocols and workflows: The OpenPREDICT case study,"  It is essential for the advancement of science that scientists and
researchers share, reuse and reproduce workflows and protocols used by others.
The FAIR principles are a set of guidelines that aim to maximize the value and
usefulness of research data, and emphasize a number of important points
regarding the means by which digital objects are found and reused by others.
The question of how to apply these principles not just to the static input and
output data but also to the dynamic workflows and protocols that consume and
produce them is still under debate and poses a number of challenges. In this
paper we describe our inclusive and overarching approach to apply the FAIR
principles to workflows and protocols and demonstrate its benefits. We apply
and evaluate our approach on a case study that consists of making the PREDICT
workflow, a highly cited drug repurposing workflow, open and FAIR. This
includes FAIRification of the involved datasets, as well as applying semantic
technologies to represent and store data about the detailed versions of the
general protocol, of the concrete workflow instructions, and of their execution
traces. A semantic model was proposed to better address these specific
requirements and were evaluated by answering competency questions. This
semantic model consists of classes and relations from a number of existing
ontologies, including Workflow4ever, PROV, EDAM, and BPMN. This allowed us then
to formulate and answer new kinds of competency questions. Our evaluation shows
the high degree to which our FAIRified OpenPREDICT workflow now adheres to the
FAIR principles and the practicality and usefulness of being able to answer our
new competency questions.
"
110,Greedy Algorithms for Fair Division of Mixed Manna,"  We consider a multi-agent model for fair division of mixed manna (i.e. items
for which agents can have positive, zero or negative utilities), in which
agents have additive utilities for bundles of items. For this model, we give
several general impossibility results and special possibility results for three
common fairness concepts (i.e. EF1, EFX, EFX3) and one popular efficiency
concept (i.e. PO). We also study how these interact with common welfare
objectives such as the Nash, disutility Nash and egalitarian welfares. For
example, we show that maximizing the Nash welfare with mixed manna (or
minimizing the disutility Nash welfare) does not ensure an EF1 allocation
whereas with goods and the Nash welfare it does. We also prove that an EFX3
allocation may not exist even with identical utilities. By comparison, with
tertiary utilities, EFX and PO allocations, or EFX3 and PO allocations always
exist. Also, with identical utilities, EFX and PO allocations always exist. For
these cases, we give polynomial-time algorithms, returning such allocations and
approximating further the Nash, disutility Nash and egalitarian welfares in
special cases.
"
111,Fair in the Eyes of Others,"  Envy-freeness is a widely studied notion in resource allocation, capturing
some aspects of fairness. The notion of envy being inherently subjective
though, it might be the case that an agent envies another agent, but that she
objectively has no reason to do so. The difficulty here is to define the notion
of objectivity, since no ground-truth can properly serve as a basis of this
definition. A natural approach is to consider the judgement of the other agents
as a proxy for objectivity. Building on previous work by Parijs (who introduced
""unanimous envy"") we propose the notion of approval envy: an agent $a_i$
experiences approval envy towards $a_j$ if she is envious of $a_j$, and
sufficiently many agents agree that this should be the case, from their own
perspectives. Some interesting properties of this notion are put forward.
Computing the minimal threshold guaranteeing approval envy clearly inherits
well-known intractable results from envy-freeness, but (i) we identify some
tractable cases such as house allocation; and (ii) we provide a general method
based on a mixed integer programming encoding of the problem, which proves to
be efficient in practice. This allows us in particular to show experimentally
that existence of such allocations, with a rather small threshold, is very
often observed.
"
112,"Fair DARTS: Eliminating Unfair Advantages in Differentiable Architecture
  Search","  Differentiable Architecture Search (DARTS) is now a widely disseminated
weight-sharing neural architecture search method. However, it suffers from
well-known performance collapse due to an inevitable aggregation of skip
connections. In this paper, we first disclose that its root cause lies in an
unfair advantage in exclusive competition. Through experiments, we show that if
either of two conditions is broken, the collapse disappears. Thereby, we
present a novel approach called Fair DARTS where the exclusive competition is
relaxed to be collaborative. Specifically, we let each operation's
architectural weight be independent of others. Yet there is still an important
issue of discretization discrepancy. We then propose a zero-one loss to push
architectural weights towards zero or one, which approximates an expected
multi-hot solution. Our experiments are performed on two mainstream search
spaces, and we derive new state-of-the-art results on CIFAR-10 and ImageNet.
Our code is available on https://github.com/xiaomi-automl/fairdarts .
"
113,On the Legal Compatibility of Fairness Definitions,"  Past literature has been effective in demonstrating ideological gaps in
machine learning (ML) fairness definitions when considering their use in
complex socio-technical systems. However, we go further to demonstrate that
these definitions often misunderstand the legal concepts from which they
purport to be inspired, and consequently inappropriately co-opt legal language.
In this paper, we demonstrate examples of this misalignment and discuss the
differences in ML terminology and their legal counterparts, as well as what
both the legal and ML fairness communities can learn from these tensions. We
focus this paper on U.S. anti-discrimination law since the ML fairness research
community regularly references terms from this body of law.
"
114,Recovering from Biased Data: Can Fairness Constraints Improve Accuracy?,"  Multiple fairness constraints have been proposed in the literature, motivated
by a range of concerns about how demographic groups might be treated unfairly
by machine learning classifiers. In this work we consider a different
motivation; learning from biased training data. We posit several ways in which
training data may be biased, including having a more noisy or negatively biased
labeling process on members of a disadvantaged group, or a decreased prevalence
of positive or negative examples from the disadvantaged group, or both.
  Given such biased training data, Empirical Risk Minimization (ERM) may
produce a classifier that not only is biased but also has suboptimal accuracy
on the true data distribution. We examine the ability of fairness-constrained
ERM to correct this problem. In particular, we find that the Equal Opportunity
fairness constraint (Hardt, Price, and Srebro 2016) combined with ERM will
provably recover the Bayes Optimal Classifier under a range of bias models. We
also consider other recovery methods including reweighting the training data,
Equalized Odds, and Demographic Parity. These theoretical results provide
additional motivation for considering fairness interventions even if an actor
cares primarily about accuracy.
"
