"X","title","abstract"
86," point fairness disability ai complexity justice"," work integrating conversations around ai disability vital valued particularly done lens fairness yet time analyzing ethical implications ai disabled people solely lens singular idea fairness risks reinforcing existing power dynamics either reinforcing position existing medical gatekeepers promoting tools techniques benefit otherwiseprivileged disabled people harming rendered outliers multiple ways paper present two case studies within computer vision subdiscipline ai focused training algorithms can see technologies putatively intended help disabled people failures consider structural injustices design likely result harms addressed fairness framing ethics drawing disability studies critical data science call researchers ai ethics disability move beyond simplistic notions fairness towards notions justice "
87,"fairness deep learning computational perspective"," deep learning increasingly used highstake decision making applications affect individual lives however deep learning models might exhibit algorithmic discrimination behaviors respect protected groups potentially posing negative impacts individuals society therefore fairness deep learning attracted tremendous attention recently provide review covering recent progresses tackle algorithmic fairness problems deep learning computational perspective specifically show interpretability can serve useful ingredient diagnose reasons lead algorithmic discrimination also discuss fairness mitigation approaches categorized according three stages deep learning lifecycle aiming push forward area fairness deep learning build genuinely fair reliable deep learning systems "
88,"fairnessaware process mining"," process mining multipurpose tool enabling organizations improve processes one primary purposes process mining finding root causes performance compliance problems processes usual way gathering data process event log sources applying data mining machine learning techniques however results applying techniques always acceptable many situations approach prone making obvious unfair diagnoses applying may result conclusions unsurprising even discriminating eg blaming overloaded employees delays paper present solution problem creating fair classifier situations undesired effects removed expense reduction accuracy resulting classifier implemented method plugin prom using implemented plugin two real event logs decreased discrimination caused classifier losing small fraction accuracy "
89,"quantifying inframarginality tradeoff group fairness"," critical decisionmaking scenarios optimizing accuracy can lead biased classifier hence past work recommends enforcing groupbased fairness metrics addition maximizing accuracy however exposes classifier another kind bias called inframarginality refers individuallevel bias individualssubgroups can worse simply optimizing accuracy instance classifier implementing racebased parity may significantly disadvantage women advantaged race quantify bias propose general notion etainframarginality can used evaluate extent bias prove theoretically unlike fairness metrics inframarginality tradeoff accuracy high accuracy directly leads low inframarginality observation confirmed empirical analysis multiple simulated realworld datasets find maximizing group fairness often increases inframarginality suggesting consideration grouplevel fairness individuallevel inframarginality however measuring inframarginality requires knowledge true distribution individuallevel outcomes correctly explicitly propose practical method measure inframarginality simple algorithm maximize groupwise accuracy avoid inframarginality "
90,"avoiding resentment via monotonic fairness"," classifiers achieve demographic balance explicitly using protected attributes race gender often politically culturally controversial due lack individual fairness ie individuals similar qualifications will receive different outcomes individually group fair decision criteria can produce counterintuitive results eg optimal constrained boundary may reject intuitively better candidates due demographic imbalance similar candidates approaches can seen introducing individual resentment individuals received better outcome either belonged different demographic class qualifications remained class objectively worse qualifications eg lower test scores show forms resentment can avoided using monotonically constrained machine learning models create individually fair demographically balanced classifiers "
91,"fat forensics python toolbox algorithmic fairness accountability transparency"," machine learning algorithms can take important decisions sometimes legally binding everyday life cases however systems decisions neither regulated certified given potential harm algorithms can cause qualities fairness accountability transparency predictive systems paramount importance recent literature suggested voluntary selfreporting aspects predictive systems eg data sheets data sets scope often limited single component machine learning pipeline producing requires manual labour resolve impasse ensure highquality fair transparent reliable machine learning systems developed open source toolbox can inspect selected fairness accountability transparency aspects systems automatically objectively report back engineers users describe design scope usage examples python toolbox paper toolbox provides functionality inspecting fairness accountability transparency aspects machine learning process data features models predictions available public bsd clause open source licence "
92,"causal modeling fairness dynamical systems"," many application areaslending education online recommenders examplefairness equity concerns emerge machine learning system interacts dynamically changing environment produce immediate longterm effects individuals demographic groups discuss causal directed acyclic graphs dags unifying framework recent literature fairness dynamical systems show formulation affords several new directions inquiry modeler causal assumptions can expressed manipulated emphasize importance computing interventional quantities dynamical fairness setting show causal assumptions enable simulation environment dynamics known offpolicy estimation dynamics unknown intervention short longterm outcomes group individual levels "
93,"groupbased fair learning leads counterintuitive predictions"," number machine learning ml methods proposed recently maximize model predictive accuracy enforcing notions group parity fairness across subpopulations propose desirable property procedures slackconsistency individual predictions model monotonic respect allowed slack ie maximum allowed groupparity violation monotonicity can useful individuals understand impact enforcing fairness predictions surprisingly find standard ml methods enforcing fairness violate basic property moreover undesirable behavior arises situations agnostic complexity underlying model approximate optimizations suggesting simple act incorporating constraint can lead drastically unintended behavior ml present simple theoretical method enforcing slackconsistency encouraging discussions unintended behaviors potentially induced enforcing groupbased parity "
94," impact data preparation fairness software systems"," machine learning models widely adopted scenarios directly affect people development software systems based models raises societal legal concerns decisions may lead unfair treatment individuals based attributes like race gender data preparation key machine learning pipeline effect fairness yet studied detail paper evaluate fairness effectiveness learned models affected removal sensitive attribute encoding categorical attributes instance selection methods including crossvalidators random undersampling used adult income german credit data datasets widely studied known fairness concerns applied data preparation technique individually analyse difference predictive performance fairness using statistical parity difference disparate impact normalised prejudice index results show fairness affected transformations made training data particularly imbalanced datasets removing sensitive attribute insufficient eliminate unfairness predictions expected key achieve fairer models additionally standard random undersampling respect true labels sometimes prejudicial performing random undersampling "
95,"fairness clustering multiple sensitive attributes"," clustering may considered fair prespecified sensitive attributes proportions sensitive attribute groups cluster reflect dataset paper consider task fair clustering scenarios involving multiple multivalued numeric sensitive attributes propose fair clustering method textitfairkm fair kmeans inspired popular kmeans clustering formulation outline computational notion fairness used along cluster coherence objective yield fairkm clustering method empirically evaluate approach wherein quantify quality fairness clusters realworld datasets experimental evaluation illustrates clusters generated fairkm fare significantly better clustering quality fair representation sensitive attribute groups compared clusters stateoftheart baseline fair clustering method "
96,"conditional learning fair representations"," propose novel algorithm learning fair representations can simultaneously mitigate two notions disparity among different demographic subgroups classification setting two key components underpinning design algorithm balanced error rate conditional alignment representations show two components contribute ensuring accuracy parity equalized falsepositive falsenegative rates across groups without impacting demographic parity furthermore also demonstrate theory two realworld experiments proposed algorithm leads better utilityfairness tradeoff balanced datasets compared existing algorithms learning fair representations classification "
97," empirical study learning fairness metrics compas data human supervision"," notion individual fairness requires similar people receive similar treatment however hard achieve practice since difficult specify appropriate similarity metric work attempt learn similarity metric human annotated data gather new dataset human judgments criminal recidivism prediction compas task assuming human supervision obeys principle individual fairness leverage prior work metric learning evaluate performance several metric learning methods dataset show learned metrics outperform euclidean precision metric various criteria provide way directly learn similarity metric satisfying individual fairness provide empirical study derive similarity metric human supervisors future work can use tool understand human supervision "
98," gender matter towards fairness dialogue systems"," recently increasing concerns fairness artificial intelligence ai realworld applications computer vision recommendations example recognition algorithms computer vision unfair black people poorly detecting faces inappropriately identifying gorillas one crucial application ai dialogue systems extensively applied society usually built real human conversational data thus inherit fairness issues held real world however fairness dialogue systems investigated paper perform initial study fairness issues dialogue systems particular construct first dataset propose quantitative measures understand fairness dialogue models studies demonstrate popular dialogue models show significant prejudice towards different genders races besides mitigate bias exhibited dialogue systems propose two effective debiasing methods experiments show methods can reduce biases dialogue systems significantly will release dataset measurement code later foster fairness research dialogue systems "
99,"preventing adversarial use datasets fair coreset construction"," propose improving privacy properties dataset publishing strategically chosen coreset data containing subset instances coreset allows strong performance primary tasks forces poor performance unwanted tasks give methods linear models neural networks demonstrate efficacy data "
100,"pcfairness unified framework measuring causalitybased fairness"," recent trend fair machine learning define fairness causalitybased notions concern causal connection protected attributes decisions however one common challenge causalitybased fairness notions identifiability ie whether can uniquely measured observational data critical barrier applying notions realworld situations paper develop framework measuring different causalitybased fairness propose unified definition covers previous causalitybased fairness notions namely pathspecific counterfactual fairness pc fairness based propose general method form constrained optimization problem bounding pathspecific counterfactual fairness unidentifiable situations experiments synthetic realworld datasets show correctness effectiveness method "
101,"learning fairness multiagent systems"," fairness essential human society contributing stability productivity similarly fairness also key many multiagent systems taking fairness multiagent learning help multiagent systems become efficient stable however learning efficiency fairness simultaneously complex multiobjective jointpolicy optimization tackle difficulties propose fen novel hierarchical reinforcement learning model first decompose fairness agent propose fairefficient reward agent learns policy optimize avoid multiobjective conflict design hierarchy consisting controller several subpolicies controller maximizes fairefficient reward switching among subpolicies provides diverse behaviors interact environment fen can trained fully decentralized way making easy deployed realworld applications empirically show fen easily learns fairness efficiency significantly outperforms baselines variety multiagent scenarios "
102,"auditing achieving intersectional fairness classification problems"," machine learning algorithms extensively used make increasingly consequential decisions people achieving optimal predictive performance can longer focus particularly important consideration fairness respect race gender sensitive attribute paper studies intersectional fairness intersections multiple sensitive attributes considered prior research mainly focused fairness respect single sensitive attribute intersectional fairness comparatively less studied despite critical importance safety modern machine learning systems present comprehensive framework auditing achieving intersectional fairness classification problems define suite metrics assess intersectional fairness data model outputs extending known singleattribute fairness metrics propose methods robustly estimating even intersectional subgroups underrepresented furthermore develop postprocessing techniques mitigate detected intersectional bias classification model techniques rely assumptions regarding underlying model preserve predictive performance guaranteed level fairness finally give guidance practical implementation showing proposed methods perform realworld dataset "
103," humanintheloop framework construct contextdependent mathematical formulations fairness"," despite recent surge interest designing guaranteeing mathematical formulations fairness virtually existing notions algorithmic fairness fail adaptable intricacies nuances decisionmaking context hand argue capturing factors inherently human task requires knowledge social background machine learning tools impact real peoples outcomes deep understanding ramifications automated decisions decision subjects society work present framework construct contextdependent mathematical formulation fairness utilizing peoples judgment fairness utilize theoretical model heidari et al which shows existing formulations algorithmic fairness special cases economic models equality opportunity eopand present practical humanintheloop approach pinpoint fairness notion eop family best captures peoples perception fairness given context illustrate framework run humansubject experiments designed learn parameters heidari et als eop model including circumstance desert utility hypothetical recidivism decisionmaking scenario work takes initial step toward democratizing formulation fairness utilizing humanjudgment tackle fundamental shortcoming automated decisionmaking systems machine incapable understanding processing human aspects social context decisions "
104,"fairnessaware neural reyni minimization continuous features"," past years seen dramatic rise academic societal interest fair machine learning plenty fair algorithms proposed recently tackle challenge discrete variables ideas exist continuous ones objective paper ensure independence level outputs regression models given continuous sensitive variables purpose use hirschfeldgebeleinrenyi hgr maximal correlation coefficient fairness metric propose two approaches minimize hgr coefficient first reducing upper bound hgr neural network estimation chi divergence second minimizing hgr directly adversarial neural network architecture idea predict output y minimizing ability adversarial neural network find estimated transformations required predict hgr coefficient empirically assess compare approaches demonstrate significant improvements previously presented work field "
105,"fair adversarial gradient tree boosting"," fair classification become important topic machine learning research bias mitigation strategies focus neural networks noticed lack work fair classifiers based decision trees even though proven efficient uptodate comparison stateoftheart classification algorithms tabular data tree boosting outperforms deep learning reason developed novel approach adversarial gradient tree boosting objective algorithm predict output y gradient tree boosting minimizing ability adversarial neural network predict sensitive attribute s approach incorporates iteration gradient neural network directly gradient tree boosting empirically assess approach popular data sets compare stateoftheart algorithms results show algorithm achieves higher accuracy obtaining level fairness measured using set different common fairness definitions "
106,"fair data adaptation quantile preservation"," fairness classification regression received much attention recently various partially noncompatible criteria proposed fairness criteria can enforced given classifier alternatively data can adapated ensure every classifier trained data will adhere desired fairness criteria present practical data adaption method based quantile preservation causal structural equation models data adaptation based presumed counterfactual model data counterfactual model verified experimentally show certain population notions fairness still guaranteed even counterfactual model misspecified precise nature fulfilled noncausal fairness notion demographic parity separation sufficiency depends structure underlying causal model choice resolving variables describe implementation proposed data adaptation procedure based random forests demonstrate practical use simulated realworld data "
107,"fairness equality effort"," fair machine learning receiving increasing attention machine learning fields researchers fair learning developed correlation associationbased measures demographic disparity mistreatment disparity calibration causalbased measures total effect direct indirect discrimination counterfactual fairness fairness notions equality opportunity equal odds consider decisions training data decisions made predictive models paper develop new causalbased fairness notation called equality effort different existing fairness notions mainly focus discovering disparity decisions two groups individuals proposed equality effort notation helps answer questions like extend legitimate variable change make particular individual achieve certain outcome level addresses concerns whether efforts made achieve outcome level individuals protected group unprotected group different develop algorithms determining whether individual group individuals discriminated terms equality effort also develop optimizationbased method removing discriminatory effects data discrimination detected conduct empirical evaluations compare equality effort existing fairness notion show effectiveness proposed algorithms "
108,"online fair division survey"," survey burgeoning promising new research area considers online nature many practical fair division problems identify wide variety online fair division problems well discuss new mechanisms normative properties apply online setting online nature fair division problems provides opportunities challenges possibility develop new online mechanisms well difficulty dealing uncertain future "
109,"towards fair protocols workflows openpredict case study"," essential advancement science scientists researchers share reuse reproduce workflows protocols used others fair principles set guidelines aim maximize value usefulness research data emphasize number important points regarding means digital objects found reused others question apply principles just static input output data also dynamic workflows protocols consume produce still debate poses number challenges paper describe inclusive overarching approach apply fair principles workflows protocols demonstrate benefits apply evaluate approach case study consists making predict workflow highly cited drug repurposing workflow open fair includes fairification involved datasets well applying semantic technologies represent store data detailed versions general protocol concrete workflow instructions execution traces semantic model proposed better address specific requirements evaluated answering competency questions semantic model consists classes relations number existing ontologies including workflowever prov edam bpmn allowed us formulate answer new kinds competency questions evaluation shows high degree fairified openpredict workflow now adheres fair principles practicality usefulness able answer new competency questions "
110,"greedy algorithms fair division mixed manna"," consider multiagent model fair division mixed manna ie items agents can positive zero negative utilities agents additive utilities bundles items model give several general impossibility results special possibility results three common fairness concepts ie ef efx efx one popular efficiency concept ie po also study interact common welfare objectives nash disutility nash egalitarian welfares example show maximizing nash welfare mixed manna minimizing disutility nash welfare ensure ef allocation whereas goods nash welfare also prove efx allocation may exist even identical utilities comparison tertiary utilities efx po allocations efx po allocations always exist also identical utilities efx po allocations always exist cases give polynomialtime algorithms returning allocations approximating nash disutility nash egalitarian welfares special cases "
111,"fair eyes others"," envyfreeness widely studied notion resource allocation capturing aspects fairness notion envy inherently subjective though might case agent envies another agent objectively reason difficulty define notion objectivity since groundtruth can properly serve basis definition natural approach consider judgement agents proxy objectivity building previous work parijs introduced unanimous envy propose notion approval envy agent ai experiences approval envy towards aj envious aj sufficiently many agents agree case perspectives interesting properties notion put forward computing minimal threshold guaranteeing approval envy clearly inherits wellknown intractable results envyfreeness identify tractable cases house allocation ii provide general method based mixed integer programming encoding problem proves efficient practice allows us particular show experimentally existence allocations rather small threshold often observed "
112,"fair darts eliminating unfair advantages differentiable architecture search"," differentiable architecture search darts now widely disseminated weightsharing neural architecture search method however suffers wellknown performance collapse due inevitable aggregation skip connections paper first disclose root cause lies unfair advantage exclusive competition experiments show either two conditions broken collapse disappears thereby present novel approach called fair darts exclusive competition relaxed collaborative specifically let operations architectural weight independent others yet still important issue discretization discrepancy propose zeroone loss push architectural weights towards zero one approximates expected multihot solution experiments performed two mainstream search spaces derive new stateoftheart results cifar imagenet code available httpsgithubcomxiaomiautomlfairdarts "
113," legal compatibility fairness definitions"," past literature effective demonstrating ideological gaps machine learning ml fairness definitions considering use complex sociotechnical systems however go demonstrate definitions often misunderstand legal concepts purport inspired consequently inappropriately coopt legal language paper demonstrate examples misalignment discuss differences ml terminology legal counterparts well legal ml fairness communities can learn tensions focus paper us antidiscrimination law since ml fairness research community regularly references terms body law "
114,"recovering biased data can fairness constraints improve accuracy"," multiple fairness constraints proposed literature motivated range concerns demographic groups might treated unfairly machine learning classifiers work consider different motivation learning biased training data posit several ways training data may biased including noisy negatively biased labeling process members disadvantaged group decreased prevalence positive negative examples disadvantaged group given biased training data empirical risk minimization erm may produce classifier biased also suboptimal accuracy true data distribution examine ability fairnessconstrained erm correct problem particular find equal opportunity fairness constraint hardt price srebro combined erm will provably recover bayes optimal classifier range bias models also consider recovery methods including reweighting training data equalized odds demographic parity theoretical results provide additional motivation considering fairness interventions even actor cares primarily accuracy "
115,"group fairness bandit arm selection"," propose novel formulation group fairness contextual multiarmed bandit cmab setting cmab setting sequential decision maker must time step choose arm pull finite set arms observing context potential arm pulls model arms partitioned two sensitive groups based protected feature eg age race socioeconomic status despite fact may differences expected payout groups may wish ensure form fairness picking arms various groups work explore two definitions fairness equal group probability wherein probability pulling arm protected groups proportional parity wherein probability choosing arm particular group proportional size group provide novel algorithm can accommodate notions fairness arbitrary number groups provide bounds regret algorithm validate algorithm using synthetic data well two realworld datasets intervention settings wherein want allocate resources fairly across protected groups "
116,"ltlf synthesis fairness stability assumptions"," synthesis assumptions constraints environment rule certain environment behaviors key observation even consider systems ltlf goals finite traces environment assumptions need expressed infinite traces since accomplishing agent goals may require unbounded number environment action solve synthesis respect finitetrace ltlf goals infinitetrace assumptions reduce problem ltl synthesis unfortunately synthesis ltlf ltl worstcase complexity exptimecomplete algorithms available ltl synthesis much difficult practice ltlf synthesis work show interesting cases can avoid detour ltl synthesis keep simplicity ltlf synthesis specifically develop bddbased fixpointbased technique handling basic forms fairness stability assumptions show empirically technique performs much better standard ltl synthesis "
117,"fair contextual multiarmed bandits theory experiments"," ai system interacts multiple users frequently needs make allocation decisions instance virtual agent decides pay attention group setting factory robot selects worker deliver part demonstrating fairness decision making essential systems broadly accepted introduce multiarmed bandit algorithm fairness constraints fairness defined minimum rate task resource assigned user proposed algorithm uses contextual information users task makes assumptions losses capturing performance different users generated provide theoretical guarantees performance empirical results simulation online user study results highlight benefit accounting contexts fair decision making especially users perform better contexts worse others "
118,"balancing tradeoff profit fairness rideshare platforms highdemand hours"," rideshare platforms assigning requests drivers tend maximize profit system andor minimize waiting time riders platforms can exacerbate biases drivers may certain types requests consider case peak hours demand rides supply drivers drivers well aware advantage peak hours can choose selective rides accept moreover scenario assignment requests drivers platform made maximize profit andor minimize wait time riders requests certain type eg nonpopular pickup location nonpopular dropoff location might never assigned driver system can highly unfair riders however increasing fairness might come cost overall profit made rideshare platform balance conflicting goals present flexible nonadaptive algorithm lpalg allows platform designer control profit fairness system via parameters alpha beta respectively model matching problem online bipartite matching set drivers offline requests arrive online upon arrival request use lpalg assign driver driver might choose accept reject reject request formalize measures profit fairness setting show using lpalg competitive ratios profit fairness measures worse alphae betae respectively extensive experimental results realworld synthetic datasets confirm validity theoretical lower bounds additionally show lpalg choice alpha beta can beat two natural heuristics greedy uniform emphboth fairness profit "
119,"stochastic fairness languagetheoretic fairness planning nondeterministic domains"," address two central notions fairness literature planning nondeterministic fully observable domains first call stochastic fairness classical assumes environment operates probabilistically using possibly unknown probabilities second languagetheoretic assumes action taken given state infinitely often possible outcomes appear infinitely often call stateaction fairness two notions coincide standard reachability goals diverge temporally extended goals important difference overlooked planning literature argue led confusion number published algorithms use reductions stated stateaction fairness incorrect correct stochastic fairness remedy provide optimal sound complete algorithm solving stateaction fair planning ltlltlf goals well correct proof lower bound goalcomplexity proof general enough provides new proofs also nofairness stochasticfairness cases overall show stochastic fairness better behaved stateaction fairness "
120,"leveraging semisupervised learning fairness using neural networks"," growing concern fairness decisionmaking systems based machine learning shortage labeled data always challenging problem facing machine learning based systems scenarios semisupervised learning shown effective way exploiting unlabeled data improve upon performance model notably unlabeled data contain label information can significant source bias training machine learning systems inspired us tackle challenge fairness formulating problem semisupervised framework paper propose semisupervised algorithm using neural networks benefiting unlabeled data just improve performance also improve fairness decisionmaking process proposed model called ssfair exploits information unlabeled data mitigate bias training data "
121,"measuring nonexpert comprehension machine learning fairness metrics"," bias machine learning manifested injustice several areas medicine hiring criminal justice response computer scientists developed myriad definitions fairness correct bias fielded algorithms definitions based established legal ethical norms others largely mathematical unclear whether general public agrees fairness definitions perhaps importantly whether understand definitions take initial steps toward bridging gap ml researchers public addressing question lay audience understand basic definition ml fairness develop metric measure comprehension three definitionsdemographic parity equal opportunity equalized odds evaluate metric using online survey investigate relationship comprehension sentiment demographics definition "
122," consequentialism fairness"," recent work fairness machine learning primarily emphasized define quantify encourage fair outcomes less attention paid however ethical foundations underlie efforts among ethical perspectives taken consideration consequentialism position roughly speaking outcomes matter although consequentialism free difficulties although necessarily provide tractable way choosing actions combined problems uncertainty subjectivity aggregation nevertheless provides powerful foundation critique existing literature machine learning fairness moreover brings fore tradeoffs involved including problem counts pros cons using policy relative value distant future paper provide consequentialist critique common definitions fairness within machine learning well machine learning perspective consequentialism conclude broader discussion issues learning randomization important implications ethics automated decision making systems "
123,"fairness learningbased sequential decision algorithms survey"," algorithmic fairness decisionmaking studied extensively static settings oneshot decisions made tasks classification however practice decisionmaking processes sequential nature decisions made past may impact future data particularly case decisions affect individuals users generating data used future decisions survey review existing literature fairness datadriven sequential decisionmaking will focus two types sequential decisions past decisions impact underlying user population thus impact future data past decisions impact underlying user population therefore future data can impact future decisions case impact various fairness interventions underlying population examined "
124,"fair transfer multiple style attributes text"," preserve anonymity obfuscate identity online platforms users may morph text portray different gender demographic similarly chatbot may need customize communication style improve engagement audience manner changing style written text gained significant attention recent years yet past research works largely cater transfer single style attributes disadvantage focusing single style alone often results target text existing style attributes behave unpredictably unfairly dominated new style counteract behavior nice style transfer mechanism can transfer control multiple styles simultaneously fairly approach one obtain obfuscated written text incorporated desired degree multiple soft styles femalequality politeness formalness work demonstrate transfer multiple styles achieved sequentially performing multiple singlestyle transfers single styletransfer step often reverses dominates style incorporated previous transfer step propose neural network architecture fairly transferring multiple style attributes given text test architecture yelp data set demonstrate superior performance compared existing onestyle transfer steps performed sequence "
125,"adequate fair explanations"," explaining sophisticated machinelearning based systems important issue foundations ai recent efforts shown various methods providing explanations approaches can broadly divided two schools provide local human interpreatable approximation machine learning algorithm logical approaches exactly characterise one aspect decision paper focus upon second school exact explanations rigorous logical foundation epistemological problem exact methods can furnish complete explanations explanations may complex humans understand even write human readable form interpretability requires epistemically accessible explanations explanations humans can grasp yet sufficiently complete epistemically accessible explanation still needs clarification terms counterfactuals following wachter et al counterfactual explanations many assumptions needed provide complete explanation left implicit counterfactual explanations exploit properties particular data point sample also local well partial explanations explore move local partial explanations call complete local explanations global ones preserve accessibility argue need partiality partiality makes possible hide explicit biases present algorithm may injurious unfairwe investigate easy uncover biases providing complete fair explanations exploiting structure set counterfactuals providing complete local explanation "
126,"algorithmic fairness nonideal perspective"," inspired recent breakthroughs predictive modeling practitioners industry government turned machine learning hopes operationalizing predictions drive automated decisions unfortunately many social desiderata concerning consequential decisions justice fairness natural formulation within purely predictive framework efforts mitigate problems researchers proposed variety metrics quantifying deviations various statistical parities might expect observe fair world offered variety algorithms attempts satisfy subsets parities trade degree satisfied utility paper connect approach emphfair machine learning literature ideal nonideal methodological approaches political philosophy ideal approach requires positing principles according just world operate straightforward application ideal theory one supports proposed policy arguing closes discrepancy real perfectly just world however failing account mechanisms nonideal world arose responsibilities various decisionmakers impacts proposed policies naive applications ideal thinking can lead misguided interventions paper demonstrate connection fair machine learning literature ideal approach political philosophy argue increasingly apparent shortcomings proposed fair machine learning algorithms reflect broader troubles faced ideal approach conclude critical discussion harms misguided solutions reinterpretation impossibility results directions future research "
127,"algorithmic fairness"," increasing number decisions regarding daily lives human beings controlled artificial intelligence ai algorithms spheres ranging healthcare transportation education college admissions recruitment provision loans many realms since now touch many aspects lives crucial develop ai algorithms accurate also objective fair recent studies shown algorithmic decisionmaking may inherently prone unfairness even intention paper presents overview main concepts identifying measuring improving algorithmic fairness using ai algorithms paper begins discussing causes algorithmic bias unfairness common definitions measures fairness fairnessenhancing mechanisms reviewed divided preprocess inprocess postprocess mechanisms comprehensive comparison mechanisms conducted towards better understanding mechanisms used different scenarios paper describes commonly used fairnessrelated datasets field finally paper ends reviewing several emerging research subfields algorithmic fairness "
128,"fae fairnessaware ensemble framework"," automated decision making based big data machine learning ml algorithms can result discriminatory decisions certain protected groups defined upon personal data like gender race sexual orientation etc algorithms designed discover patterns big data might pick encoded societal biases training data even worse might reinforce biases resulting severe discrimination majority thus far proposed fairnessaware machine learning approaches focus solely pre postprocessing steps machine learning process input data learning algorithms derived models respectively however fairness problem isolated single step ml process rather discrimination often result complex interactions big data algorithms therefore holistic approach required proposed fae fairnessaware ensemble framework combines fairnessrelated interventions pre postprocessing steps data analysis process preprocessing step tackle problems underrepresentation protected group group imbalance classimbalance generating balanced training samples postprocessing step tackle problem class overlapping shifting decision boundary direction fairness "
129,"joint optimization ai fairness utility humancentered approach"," today ai increasingly used many highstakes decisionmaking applications fairness important concern already many examples ai biased making questionable unfair decisions ai research community proposed many methods measure mitigate unwanted biases involve inputs human policy makers argue different fairness criteria sometimes simultaneously satisfied achieving fairness often requires sacrificing objectives model accuracy key acquire adhere human policy makers preferences make tradeoff among objectives paper propose framework exemplar methods eliciting preferences optimizing ai model according preferences "
130,"fair correlation clustering"," paper study correlation clustering fairness constraints fair variants kmedian kcenter clustering studied recently approximation algorithms using notion called fairlet decomposition proposed obtain approximation algorithms fair correlation clustering several important types fairness constraints results hinge obtaining fairlet decomposition correlation clustering introducing novel combinatorial optimization problem define fairlet decomposition cost similar kmedian cost allows us obtain approximation algorithms wide range fairness constraints complement theoretical results indepth analysis algorithms real graphs show fair solutions correlation clustering can obtained limited increase cost compared stateoftheart unfair algorithms "
131,"fair correlation clustering"," paper study problem correlation clustering fairness constraints classic correlation clustering problem given complete graph edge labeled positive negative goal obtain clustering vertices minimizes disagreements number negative edges trapped inside cluster plus positive edges different clusters consider two variations fairness constraint problem correlation clustering node color goal form clusters overrepresent vertices color first variant aims generate clusters minimum disagreements distribution feature eg gender cluster global distribution case two colors desired ratio number colors cluster p get mathcalopapproximation algorithm algorithm extended case multiple colors prove problem nphard second variant considers relative upper lower bounds number nodes color cluster goal avoid violating upper lower bounds corresponding color cluster minimizing total number disagreements along theoretical results show effectiveness algorithm generate fair clusters empirical evaluation real world data sets "
132,"convex fairness constrained model using causal effect estimators"," recent years seen much research fairness machine learning mean difference md demographic parity one popular measures fairness however md quantifies discrimination also explanatory bias difference outcomes justified explanatory features paper devise novel models called faircees remove discrimination keeping explanatory bias models based estimators causal effect utilizing propensity score analysis prove faircees squared loss theoretically outperform naive md constraint model provide efficient algorithm solving faircees regression binary classification tasks experiment synthetic realworld data two tasks faircees outperformed existing model considers explanatory bias specific cases "
133,"learning individually fair classifier pathspecific causaleffect constraint"," machine learning increasingly used make decisions individuals various fields require achieve good prediction accuracy ensuring fairness respect sensitive features race gender problem however remains difficult complex realworld scenarios effectively quantify unfairness scenarios existing methods utilize pathspecific causal effects however none can ensure fairness individual without making impractical assumptions specifically assumptions require us formulate true datagenerating processes causal model requires extremely deep understanding data unrealistic practice paper propose framework learning individually fair classifier without relying causal model goal define probability individual unfairness piu solve optimization problem constrains upper bound can estimated data without causal model elucidate constraint can guarantee fairness individual experimental results demonstrate method learns individually fair classifier slight cost prediction accuracy "
