,id,submitter,authors,title,comments,journal-ref,doi,report-no,categories,license,abstract,versions,update_date,authors_parsed
1044501,1810.13314,Naman Goel,Naman Goel and Boi Faltings,"Crowdsourcing with Fairness, Diversity and Budget Constraints",,,,,cs.AI,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Recent studies have shown that the labels collected from crowdworkers can be
discriminatory with respect to sensitive attributes such as gender and race.
This raises questions about the suitability of using crowdsourced data for
further use, such as for training machine learning algorithms. In this work, we
address the problem of fair and diverse data collection from a crowd under
budget constraints. We propose a novel algorithm which maximizes the expected
accuracy of the collected data, while ensuring that the errors satisfy desired
notions of fairness. We provide guarantees on the performance of our algorithm
and show that the algorithm performs well in practice through experiments on a
real dataset.
","[{'version': 'v1', 'created': 'Wed, 31 Oct 2018 14:46:17 GMT'}, {'version': 'v2', 'created': 'Fri, 1 Mar 2019 13:29:53 GMT'}]",2019-03-04,"[['Goel', 'Naman', ''], ['Faltings', 'Boi', '']]"
1046113,1811.0148,Jixue Liu,"Jixue Liu, Jiuyong Li, Lin Liu, Thuc Duy Le, Feiyue Ye, Gefei Li",FairMod - Making Predictive Models Discrimination Aware,,,,,cs.AI cs.LG,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Predictive models such as decision trees and neural networks may produce
discrimination in their predictions. This paper proposes a method to
post-process the predictions of a predictive model to make the processed
predictions non-discriminatory. The method considers multiple protected
variables together. Multiple protected variables make the problem more
challenging than a simple protected variable. The method uses a well-cited
discrimination metric and adapts it to allow the specification of explanatory
variables, such as position, profession, education, that describe the contexts
of the applications. It models the post-processing of predictions problem as a
nonlinear optimization problem to find best adjustments to the predictions so
that the discrimination constraints of all protected variables are all met at
the same time. The proposed method is independent of classification methods. It
can handle the cases that existing methods cannot handle: satisfying multiple
protected attributes at the same time, allowing multiple explanatory
attributes, and being independent of classification model types. An evaluation
using four real world data sets shows that the proposed method is as
effectively as existing methods, in addition to its extra power.
","[{'version': 'v1', 'created': 'Mon, 5 Nov 2018 02:07:03 GMT'}]",2018-11-06,"[['Liu', 'Jixue', ''], ['Li', 'Jiuyong', ''], ['Liu', 'Lin', ''], ['Le', 'Thuc Duy', ''], ['Ye', 'Feiyue', ''], ['Li', 'Gefei', '']]"
1048287,1811.0365399999998,Yang Liu,"Nripsuta Saxena, Karen Huang, Evan DeFilippis, Goran Radanovic, David
  Parkes, Yang Liu","How Do Fairness Definitions Fare? Examining Public Attitudes Towards
  Algorithmic Definitions of Fairness",To appear at AI Ethics and Society (AIES) 2019,,,,cs.AI cs.CY,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  What is the best way to define algorithmic fairness? While many definitions
of fairness have been proposed in the computer science literature, there is no
clear agreement over a particular definition. In this work, we investigate
ordinary people's perceptions of three of these fairness definitions. Across
two online experiments, we test which definitions people perceive to be the
fairest in the context of loan decisions, and whether fairness perceptions
change with the addition of sensitive information (i.e., race of the loan
applicants). Overall, one definition (calibrated fairness) tends to be more
preferred than the others, and the results also provide support for the
principle of affirmative action.
","[{'version': 'v1', 'created': 'Thu, 8 Nov 2018 19:21:14 GMT'}, {'version': 'v2', 'created': 'Sun, 27 Jan 2019 19:56:07 GMT'}]",2019-01-29,"[['Saxena', 'Nripsuta', ''], ['Huang', 'Karen', ''], ['DeFilippis', 'Evan', ''], ['Radanovic', 'Goran', ''], ['Parkes', 'David', ''], ['Liu', 'Yang', '']]"
1050210,1811.05577,Pedro Saleiro,"Pedro Saleiro, Benedict Kuester, Loren Hinkson, Jesse London, Abby
  Stevens, Ari Anisfeld, Kit T. Rodolfa, Rayid Ghani",Aequitas: A Bias and Fairness Audit Toolkit,Aequitas website: http://dsapp.uchicago.edu/aequitas,,,,cs.LG cs.AI cs.CY,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Recent work has raised concerns on the risk of unintended bias in AI systems
being used nowadays that can affect individuals unfairly based on race, gender
or religion, among other possible characteristics. While a lot of bias metrics
and fairness definitions have been proposed in recent years, there is no
consensus on which metric/definition should be used and there are very few
available resources to operationalize them. Therefore, despite recent
awareness, auditing for bias and fairness when developing and deploying AI
systems is not yet a standard practice. We present Aequitas, an open source
bias and fairness audit toolkit that is an intuitive and easy to use addition
to the machine learning workflow, enabling users to seamlessly test models for
several bias and fairness metrics in relation to multiple population
sub-groups. Aequitas facilitates informed and equitable decisions around
developing and deploying algorithmic decision making systems for both data
scientists, machine learning researchers and policymakers.
","[{'version': 'v1', 'created': 'Wed, 14 Nov 2018 00:34:01 GMT'}, {'version': 'v2', 'created': 'Mon, 29 Apr 2019 16:28:23 GMT'}]",2019-04-30,"[['Saleiro', 'Pedro', ''], ['Kuester', 'Benedict', ''], ['Hinkson', 'Loren', ''], ['London', 'Jesse', ''], ['Stevens', 'Abby', ''], ['Anisfeld', 'Ari', ''], ['Rodolfa', 'Kit T.', ''], ['Ghani', 'Rayid', '']]"
1051888,1811.07255,James Foulds,"James Foulds, Rashidul Islam, Kamrun Keya, Shimei Pan",Bayesian Modeling of Intersectional Fairness: The Variance of Bias,,,,,cs.LG cs.AI cs.CY stat.ML,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Intersectionality is a framework that analyzes how interlocking systems of
power and oppression affect individuals along overlapping dimensions including
race, gender, sexual orientation, class, and disability. Intersectionality
theory therefore implies it is important that fairness in artificial
intelligence systems be protected with regard to multi-dimensional protected
attributes. However, the measurement of fairness becomes statistically
challenging in the multi-dimensional setting due to data sparsity, which
increases rapidly in the number of dimensions, and in the values per dimension.
We present a Bayesian probabilistic modeling approach for the reliable,
data-efficient estimation of fairness with multi-dimensional protected
attributes, which we apply to two existing intersectional fairness metrics.
Experimental results on census data and the COMPAS criminal justice recidivism
dataset demonstrate the utility of our methodology, and show that Bayesian
methods are valuable for the modeling and measurement of fairness in an
intersectional context.
","[{'version': 'v1', 'created': 'Sun, 18 Nov 2018 01:54:24 GMT'}, {'version': 'v2', 'created': 'Tue, 10 Sep 2019 16:58:05 GMT'}]",2019-09-11,"[['Foulds', 'James', ''], ['Islam', 'Rashidul', ''], ['Keya', 'Kamrun', ''], ['Pan', 'Shimei', '']]"
1054593,1811.0996,Jack Fitzsimons,"Jack Fitzsimons, Michael Osborne and Stephen Roberts",Intersectionality: Multiple Group Fairness in Expectation Constraints,"NeurIPS (previously NIPS) 2018, Workshop on Ethical, Social and
  Governance Issues in AI",,,,stat.ML cs.AI cs.CY cs.LG,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Group fairness is an important concern for machine learning researchers,
developers, and regulators. However, the strictness to which models must be
constrained to be considered fair is still under debate. The focus of this work
is on constraining the expected outcome of subpopulations in kernel regression
and, in particular, decision tree regression, with application to random
forests, boosted trees and other ensemble models. While individual constraints
were previously addressed, this work addresses concerns about incorporating
multiple constraints simultaneously. The proposed solution does not affect the
order of computational or memory complexity of the decision trees and is easily
integrated into models post training.
","[{'version': 'v1', 'created': 'Sun, 25 Nov 2018 06:31:13 GMT'}]",2018-11-27,"[['Fitzsimons', 'Jack', ''], ['Osborne', 'Michael', ''], ['Roberts', 'Stephen', '']]"
1054737,1811.1010399999998,Ben Hutchinson,Ben Hutchinson and Margaret Mitchell,50 Years of Test (Un)fairness: Lessons for Machine Learning,"FAT* '19: Conference on Fairness, Accountability, and Transparency
  (FAT* '19), January 29--31, 2019, Atlanta, GA, USA",,10.1145/3287560.3287600,,cs.AI cs.LG,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Quantitative definitions of what is unfair and what is fair have been
introduced in multiple disciplines for well over 50 years, including in
education, hiring, and machine learning. We trace how the notion of fairness
has been defined within the testing communities of education and hiring over
the past half century, exploring the cultural and social context in which
different fairness definitions have emerged. In some cases, earlier definitions
of fairness are similar or identical to definitions of fairness in current
machine learning research, and foreshadow current formal work. In other cases,
insights into what fairness means and how to measure it have largely gone
overlooked. We compare past and current notions of fairness along several
dimensions, including the fairness criteria, the focus of the criteria (e.g., a
test, a model, or its use), the relationship of fairness to individuals,
groups, and subgroups, and the mathematical method for measuring fairness
(e.g., classification, regression). This work points the way towards future
research and measurement of (un)fairness that builds from our modern
understanding of fairness while incorporating insights from the past.
","[{'version': 'v1', 'created': 'Sun, 25 Nov 2018 21:48:19 GMT'}, {'version': 'v2', 'created': 'Mon, 3 Dec 2018 23:18:49 GMT'}]",2018-12-05,"[['Hutchinson', 'Ben', ''], ['Mitchell', 'Margaret', '']]"
1055303,1811.1067,Shari Trewin,Shari Trewin,AI Fairness for People with Disabilities: Point of View,,,,,cs.AI cs.CY,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  We consider how fair treatment in society for people with disabilities might
be impacted by the rise in the use of artificial intelligence, and especially
machine learning methods. We argue that fairness for people with disabilities
is different to fairness for other protected attributes such as age, gender or
race. One major difference is the extreme diversity of ways disabilities
manifest, and people adapt. Secondly, disability information is highly
sensitive and not always shared, precisely because of the potential for
discrimination. Given these differences, we explore definitions of fairness and
how well they work in the disability space. Finally, we suggest ways of
approaching fairness for people with disabilities in AI applications.
","[{'version': 'v1', 'created': 'Mon, 26 Nov 2018 20:11:30 GMT'}]",2018-11-28,"[['Trewin', 'Shari', '']]"
1060147,1812.02573,Osbert Bastani,"Osbert Bastani, Xin Zhang, Armando Solar-Lezama",Probabilistic Verification of Fairness Properties via Concentration,,,,,cs.AI,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  As machine learning systems are increasingly used to make real world legal
and financial decisions, it is of paramount importance that we develop
algorithms to verify that these systems do not discriminate against minorities.
We design a scalable algorithm for verifying fairness specifications. Our
algorithm obtains strong correctness guarantees based on adaptive concentration
inequalities; such inequalities enable our algorithm to adaptively take samples
until it has enough data to make a decision. We implement our algorithm in a
tool called VeriFair, and show that it scales to large machine learning models,
including a deep recurrent neural network that is more than five orders of
magnitude larger than the largest previously-verified neural network. While our
technique only gives probabilistic guarantees due to the use of random samples,
we show that we can choose the probability of error to be extremely small.
","[{'version': 'v1', 'created': 'Sun, 2 Dec 2018 19:54:38 GMT'}, {'version': 'v2', 'created': 'Mon, 30 Dec 2019 17:07:59 GMT'}]",2020-01-01,"[['Bastani', 'Osbert', ''], ['Zhang', 'Xin', ''], ['Solar-Lezama', 'Armando', '']]"
1061792,1812.0421800000001,Jiaming Song,"Jiaming Song, Pratyusha Kalluri, Aditya Grover, Shengjia Zhao, Stefano
  Ermon",Learning Controllable Fair Representations,"AISTATS 2019, fixed a typo",,,,cs.LG cs.AI stat.ML,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Learning data representations that are transferable and are fair with respect
to certain protected attributes is crucial to reducing unfair decisions while
preserving the utility of the data. We propose an information-theoretically
motivated objective for learning maximally expressive representations subject
to fairness constraints. We demonstrate that a range of existing approaches
optimize approximations to the Lagrangian dual of our objective. In contrast to
these existing approaches, our objective allows the user to control the
fairness of the representations by specifying limits on unfairness. Exploiting
duality, we introduce a method that optimizes the model parameters as well as
the expressiveness-fairness trade-off. Empirical evidence suggests that our
proposed method can balance the trade-off between multiple notions of fairness
and achieves higher expressiveness at a lower computational cost.
","[{'version': 'v1', 'created': 'Tue, 11 Dec 2018 04:44:48 GMT'}, {'version': 'v2', 'created': 'Tue, 26 Feb 2019 09:30:21 GMT'}, {'version': 'v3', 'created': 'Sat, 14 Mar 2020 10:12:56 GMT'}]",2020-03-17,"[['Song', 'Jiaming', ''], ['Kalluri', 'Pratyusha', ''], ['Grover', 'Aditya', ''], ['Zhao', 'Shengjia', ''], ['Ermon', 'Stefano', '']]"
1074109,1901.0456199999999,Alex Beutel,"Alex Beutel, Jilin Chen, Tulsee Doshi, Hai Qian, Allison Woodruff,
  Christine Luu, Pierre Kreitmann, Jonathan Bischof, Ed H. Chi","Putting Fairness Principles into Practice: Challenges, Metrics, and
  Improvements",,,,,cs.LG cs.AI cs.CY stat.ML,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  As more researchers have become aware of and passionate about algorithmic
fairness, there has been an explosion in papers laying out new metrics,
suggesting algorithms to address issues, and calling attention to issues in
existing applications of machine learning. This research has greatly expanded
our understanding of the concerns and challenges in deploying machine learning,
but there has been much less work in seeing how the rubber meets the road.
  In this paper we provide a case-study on the application of fairness in
machine learning research to a production classification system, and offer new
insights in how to measure and address algorithmic fairness issues. We discuss
open questions in implementing equality of opportunity and describe our
fairness metric, conditional equality, that takes into account distributional
differences. Further, we provide a new approach to improve on the fairness
metric during model training and demonstrate its efficacy in improving
performance for a real-world product
","[{'version': 'v1', 'created': 'Mon, 14 Jan 2019 21:02:29 GMT'}]",2019-01-16,"[['Beutel', 'Alex', ''], ['Chen', 'Jilin', ''], ['Doshi', 'Tulsee', ''], ['Qian', 'Hai', ''], ['Woodruff', 'Allison', ''], ['Luu', 'Christine', ''], ['Kreitmann', 'Pierre', ''], ['Bischof', 'Jonathan', ''], ['Chi', 'Ed H.', '']]"
1080384,1901.10837,Ziyuan Zhong,"Alexandre Louis Lamy, Ziyuan Zhong, Aditya Krishna Menon, Nakul Verma",Noise-tolerant fair classification,,,,,cs.LG cs.AI cs.CY stat.ML,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Fairness-aware learning involves designing algorithms that do not
discriminate with respect to some sensitive feature (e.g., race or gender).
Existing work on the problem operates under the assumption that the sensitive
feature available in one's training sample is perfectly reliable. This
assumption may be violated in many real-world cases: for example, respondents
to a survey may choose to conceal or obfuscate their group identity out of fear
of potential discrimination. This poses the question of whether one can still
learn fair classifiers given noisy sensitive features. In this paper, we answer
the question in the affirmative: we show that if one measures fairness using
the mean-difference score, and sensitive features are subject to noise from the
mutually contaminated learning model, then owing to a simple identity we only
need to change the desired fairness-tolerance. The requisite tolerance can be
estimated by leveraging existing noise-rate estimators from the label noise
literature. We finally show that our procedure is empirically effective on two
case-studies involving sensitive feature censoring.
","[{'version': 'v1', 'created': 'Wed, 30 Jan 2019 14:11:05 GMT'}, {'version': 'v2', 'created': 'Mon, 17 Jun 2019 18:08:36 GMT'}, {'version': 'v3', 'created': 'Tue, 10 Dec 2019 07:07:43 GMT'}, {'version': 'v4', 'created': 'Thu, 9 Jan 2020 14:44:05 GMT'}]",2020-01-10,"[['Lamy', 'Alexandre Louis', ''], ['Zhong', 'Ziyuan', ''], ['Menon', 'Aditya Krishna', ''], ['Verma', 'Nakul', '']]"
1088907,1902.07823,Huang Lingxiao,Lingxiao Huang and Nisheeth K. Vishnoi,Stable and Fair Classification,,,,,cs.LG cs.AI cs.CY cs.DS stat.ML,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Fair classification has been a topic of intense study in machine learning,
and several algorithms have been proposed towards this important task. However,
in a recent study, Friedler et al. observed that fair classification algorithms
may not be stable with respect to variations in the training dataset -- a
crucial consideration in several real-world applications. Motivated by their
work, we study the problem of designing classification algorithms that are both
fair and stable. We propose an extended framework based on fair classification
algorithms that are formulated as optimization problems, by introducing a
stability-focused regularization term. Theoretically, we prove a stability
guarantee, that was lacking in fair classification algorithms, and also provide
an accuracy guarantee for our extended framework. Our accuracy guarantee can be
used to inform the selection of the regularization parameter in our framework.
To the best of our knowledge, this is the first work that combines stability
and fairness in automated decision-making tasks. We assess the benefits of our
approach empirically by extending several fair classification algorithms that
are shown to achieve the best balance between fairness and accuracy over the
Adult dataset. Our empirical results show that our framework indeed improves
the stability at only a slight sacrifice in accuracy.
","[{'version': 'v1', 'created': 'Thu, 21 Feb 2019 00:56:14 GMT'}, {'version': 'v2', 'created': 'Tue, 26 Feb 2019 14:15:32 GMT'}, {'version': 'v3', 'created': 'Mon, 13 May 2019 16:22:18 GMT'}, {'version': 'v4', 'created': 'Wed, 9 Sep 2020 12:32:22 GMT'}]",2020-09-10,"[['Huang', 'Lingxiao', ''], ['Vishnoi', 'Nisheeth K.', '']]"
1089367,1902.08283,Babak Salimi,"Babak Salimi, Luke Rodriguez, Bill Howe, Dan Suciu",Capuchin: Causal Database Repair for Algorithmic Fairness,,"Proceedings of the 2019 International Conference on Management of
  Data. ACM, 2019",,,cs.DB cs.AI,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Fairness is increasingly recognized as a critical component of machine
learning systems. However, it is the underlying data on which these systems are
trained that often reflect discrimination, suggesting a database repair
problem. Existing treatments of fairness rely on statistical correlations that
can be fooled by statistical anomalies, such as Simpson's paradox. Proposals
for causality-based definitions of fairness can correctly model some of these
situations, but they require specification of the underlying causal models. In
this paper, we formalize the situation as a database repair problem, proving
sufficient conditions for fair classifiers in terms of admissible variables as
opposed to a complete causal model. We show that these conditions correctly
capture subtle fairness violations. We then use these conditions as the basis
for database repair algorithms that provide provable fairness guarantees about
classifiers trained on their training labels. We evaluate our algorithms on
real data, demonstrating improvement over the state of the art on multiple
fairness metrics proposed in the literature while retaining high utility.
","[{'version': 'v1', 'created': 'Thu, 21 Feb 2019 22:13:29 GMT'}, {'version': 'v2', 'created': 'Tue, 26 Feb 2019 00:20:52 GMT'}, {'version': 'v3', 'created': 'Mon, 15 Jul 2019 23:34:33 GMT'}, {'version': 'v4', 'created': 'Mon, 22 Jul 2019 01:35:59 GMT'}, {'version': 'v5', 'created': 'Tue, 1 Oct 2019 19:37:23 GMT'}]",2019-10-04,"[['Salimi', 'Babak', ''], ['Rodriguez', 'Luke', ''], ['Howe', 'Bill', ''], ['Suciu', 'Dan', '']]"
1093166,1903.0078,Alex Beutel,"Alex Beutel, Jilin Chen, Tulsee Doshi, Hai Qian, Li Wei, Yi Wu, Lukasz
  Heldt, Zhe Zhao, Lichan Hong, Ed H. Chi, Cristos Goodrow",Fairness in Recommendation Ranking through Pairwise Comparisons,,,,,cs.CY cs.AI cs.IR cs.LG stat.ML,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Recommender systems are one of the most pervasive applications of machine
learning in industry, with many services using them to match users to products
or information. As such it is important to ask: what are the possible fairness
risks, how can we quantify them, and how should we address them? In this paper
we offer a set of novel metrics for evaluating algorithmic fairness concerns in
recommender systems. In particular we show how measuring fairness based on
pairwise comparisons from randomized experiments provides a tractable means to
reason about fairness in rankings from recommender systems. Building on this
metric, we offer a new regularizer to encourage improving this metric during
model training and thus improve fairness in the resulting rankings. We apply
this pairwise regularization to a large-scale, production recommender system
and show that we are able to significantly improve the system's pairwise
fairness.
","[{'version': 'v1', 'created': 'Sat, 2 Mar 2019 22:29:42 GMT'}]",2019-03-12,"[['Beutel', 'Alex', ''], ['Chen', 'Jilin', ''], ['Doshi', 'Tulsee', ''], ['Qian', 'Hai', ''], ['Wei', 'Li', ''], ['Wu', 'Yi', ''], ['Heldt', 'Lukasz', ''], ['Zhao', 'Zhe', ''], ['Hong', 'Lichan', ''], ['Chi', 'Ed H.', ''], ['Goodrow', 'Cristos', '']]"
1093595,1903.01209,Hoda Heidari,"Hoda Heidari, Vedant Nanda, and Krishna P. Gummadi","On the Long-term Impact of Algorithmic Decision Policies: Effort
  Unfairness and Feature Segregation through Social Learning",,,,,cs.CY cs.AI,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Most existing notions of algorithmic fairness are one-shot: they ensure some
form of allocative equality at the time of decision making, but do not account
for the adverse impact of the algorithmic decisions today on the long-term
welfare and prosperity of certain segments of the population. We take a broader
perspective on algorithmic fairness. We propose an effort-based measure of
fairness and present a data-driven framework for characterizing the long-term
impact of algorithmic policies on reshaping the underlying population.
Motivated by the psychological literature on \emph{social learning} and the
economic literature on equality of opportunity, we propose a micro-scale model
of how individuals may respond to decision-making algorithms. We employ
existing measures of segregation from sociology and economics to quantify the
resulting macro-scale population-level change. Importantly, we observe that
different models may shift the group-conditional distribution of qualifications
in different directions. Our findings raise a number of important questions
regarding the formalization of fairness for decision-making models.
","[{'version': 'v1', 'created': 'Mon, 4 Mar 2019 12:38:00 GMT'}, {'version': 'v2', 'created': 'Thu, 27 Jun 2019 13:15:44 GMT'}]",2019-06-28,"[['Heidari', 'Hoda', ''], ['Nanda', 'Vedant', ''], ['Gummadi', 'Krishna P.', '']]"
1099394,1903.07008,Rodrigo Canaan,"Rodrigo Canaan, Christoph Salge, Julian Togelius, Andy Nealen","Leveling the Playing Field -- Fairness in AI Versus Human Game
  Benchmarks",7 pages,,,,cs.AI,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  From the beginning if the history of AI, there has been interest in games as
a platform of research. As the field developed, human-level competence in
complex games became a target researchers worked to reach. Only relatively
recently has this target been finally met for traditional tabletop games such
as Backgammon, Chess and Go. Current research focus has shifted to electronic
games, which provide unique challenges. As is often the case with AI research,
these results are liable to be exaggerated or misrepresented by either authors
or third parties. The extent to which these games benchmark consist of fair
competition between human and AI is also a matter of debate. In this work, we
review the statements made by authors and third parties in the general media
and academic circle about these game benchmark results and discuss factors that
can impact the perception of fairness in the contest between humans and
machines
","[{'version': 'v1', 'created': 'Sun, 17 Mar 2019 00:42:26 GMT'}, {'version': 'v2', 'created': 'Sun, 24 Mar 2019 17:52:49 GMT'}, {'version': 'v3', 'created': 'Sun, 14 Apr 2019 01:20:16 GMT'}, {'version': 'v4', 'created': 'Thu, 29 Aug 2019 16:52:14 GMT'}]",2019-08-30,"[['Canaan', 'Rodrigo', ''], ['Salge', 'Christoph', ''], ['Togelius', 'Julian', ''], ['Nealen', 'Andy', '']]"
1118583,1905.00147,Lily Hu,Lily Hu and Yiling Chen,Fair Classification and Social Welfare,"23 pages, 2 figures",,,,cs.LG cs.AI stat.ML,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Now that machine learning algorithms lie at the center of many resource
allocation pipelines, computer scientists have been unwittingly cast as partial
social planners. Given this state of affairs, important questions follow. What
is the relationship between fairness as defined by computer scientists and
notions of social welfare? In this paper, we present a welfare-based analysis
of classification and fairness regimes. We translate a loss minimization
program into a social welfare maximization problem with a set of implied
welfare weights on individuals and groups--weights that can be analyzed from a
distribution justice lens. In the converse direction, we ask what the space of
possible labelings is for a given dataset and hypothesis class. We provide an
algorithm that answers this question with respect to linear hyperplanes in
$\mathbb{R}^d$ that runs in $O(n^dd)$. Our main findings on the relationship
between fairness criteria and welfare center on sensitivity analyses of
fairness-constrained empirical risk minimization programs. We characterize the
ranges of $\Delta \epsilon$ perturbations to a fairness parameter $\epsilon$
that yield better, worse, and neutral outcomes in utility for individuals and
by extension, groups. We show that applying more strict fairness criteria that
are codified as parity constraints, can worsen welfare outcomes for both
groups. More generally, always preferring ""more fair"" classifiers does not
abide by the Pareto Principle---a fundamental axiom of social choice theory and
welfare economics. Recent work in machine learning has rallied around these
notions of fairness as critical to ensuring that algorithmic systems do not
have disparate negative impact on disadvantaged social groups. By showing that
these constraints often fail to translate into improved outcomes for these
groups, we cast doubt on their effectiveness as a means to ensure justice.
","[{'version': 'v1', 'created': 'Wed, 1 May 2019 01:03:07 GMT'}]",2019-05-02,"[['Hu', 'Lily', ''], ['Chen', 'Yiling', '']]"
1125462,1905.0702600000002,Vaishak Belle,"Michael Varley, Vaishak Belle",Fairness in Machine Learning with Tractable Models,"In AAAI Workshop: Statistical Relational Artificial Intelligence
  (StarAI), 2020. (This is the extended version.)",,,,cs.LG cs.AI cs.SC stat.ML,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  Machine Learning techniques have become pervasive across a range of different
applications, and are now widely used in areas as disparate as recidivism
prediction, consumer credit-risk analysis and insurance pricing. The prevalence
of machine learning techniques has raised concerns about the potential for
learned algorithms to become biased against certain groups. Many definitions
have been proposed in the literature, but the fundamental task of reasoning
about probabilistic events is a challenging one, owing to the intractability of
inference.
  The focus of this paper is taking steps towards the application of tractable
models to fairness. Tractable probabilistic models have emerged that guarantee
that conditional marginal can be computed in time linear in the size of the
model. In particular, we show that sum product networks (SPNs) enable an
effective technique for determining the statistical relationships between
protected attributes and other training variables. If a subset of these
training variables are found by the SPN to be independent of the training
attribute then they can be considered `safe' variables, from which we can train
a classification model without concern that the resulting classifier will
result in disparate outcomes for different demographic groups.
  Our initial experiments on the `German Credit' data set indicate that this
processing technique significantly reduces disparate treatment of male and
female credit applicants, with a small reduction in classification accuracy
compared to state of the art. We will also motivate the concept of ""fairness
through percentile equivalence"", a new definition predicated on the notion that
individuals at the same percentile of their respective distributions should be
treated equivalently, and this prevents unfair penalisation of those
individuals who lie at the extremities of their respective distributions.
","[{'version': 'v1', 'created': 'Thu, 16 May 2019 20:31:26 GMT'}, {'version': 'v2', 'created': 'Mon, 13 Jan 2020 13:25:33 GMT'}]",2020-01-14,"[['Varley', 'Michael', ''], ['Belle', 'Vaishak', '']]"
1129110,1905.10674,William L Hamilton,"Avishek Joey Bose, William L. Hamilton",Compositional Fairness Constraints for Graph Embeddings,"Proceedings of the 36th International Conference on Machine Learning,
  Long Beach, California, PMLR 97, 2019",,,,cs.LG cs.AI stat.ML,http://creativecommons.org/publicdomain/zero/1.0/,"  Learning high-quality node embeddings is a key building block for machine
learning models that operate on graph data, such as social networks and
recommender systems. However, existing graph embedding techniques are unable to
cope with fairness constraints, e.g., ensuring that the learned representations
do not correlate with certain attributes, such as age or gender. Here, we
introduce an adversarial framework to enforce fairness constraints on graph
embeddings. Our approach is compositional---meaning that it can flexibly
accommodate different combinations of fairness constraints during inference.
For instance, in the context of social recommendations, our framework would
allow one user to request that their recommendations are invariant to both
their age and gender, while also allowing another user to request invariance to
just their age. Experiments on standard knowledge graph and recommender system
benchmarks highlight the utility of our proposed framework.
","[{'version': 'v1', 'created': 'Sat, 25 May 2019 21:13:27 GMT'}, {'version': 'v2', 'created': 'Mon, 17 Jun 2019 22:20:27 GMT'}, {'version': 'v3', 'created': 'Fri, 5 Jul 2019 16:42:35 GMT'}, {'version': 'v4', 'created': 'Tue, 16 Jul 2019 22:11:21 GMT'}]",2019-07-18,"[['Bose', 'Avishek Joey', ''], ['Hamilton', 'William L.', '']]"
1131164,1905.1272800000002,Fernando Mart\'inez Plumed,"Fernando Mart\'inez-Plumed, C\`esar Ferri, David Nieves, Jos\'e
  Hern\'andez-Orallo",Fairness and Missing Values,Preprint submitted to Decision Support Systems Journal,,,,cs.LG cs.AI stat.ML,http://arxiv.org/licenses/nonexclusive-distrib/1.0/,"  The causes underlying unfair decision making are complex, being internalised
in different ways by decision makers, other actors dealing with data and
models, and ultimately by the individuals being affected by these decisions.
One frequent manifestation of all these latent causes arises in the form of
missing values: protected groups are more reluctant to give information that
could be used against them, delicate information for some groups can be erased
by human operators, or data acquisition may simply be less complete and
systematic for minority groups. As a result, missing values and bias in data
are two phenomena that are tightly coupled. However, most recent techniques,
libraries and experimental results dealing with fairness in machine learning
have simply ignored missing data. In this paper, we claim that fairness
research should not miss the opportunity to deal properly with missing data. To
support this claim, (1) we analyse the sources of missing data and bias, and we
map the common causes, (2) we find that rows containing missing values are
usually fairer than the rest, which should not be treated as the uncomfortable
ugly data that different techniques and libraries get rid of at the first
occasion, and (3) we study the trade-off between performance and fairness when
the rows with missing values are used (either because the technique deals with
them directly or by imputation methods). We end the paper with a series of
recommended procedures about what to do with missing data when aiming for fair
decision making.
","[{'version': 'v1', 'created': 'Wed, 29 May 2019 21:09:20 GMT'}]",2019-05-31,"[['Martínez-Plumed', 'Fernando', ''], ['Ferri', 'Cèsar', ''], ['Nieves', 'David', ''], ['Hernández-Orallo', 'José', '']]"
